model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,bright,0.3,4.394890308380127,1.7118953466415405,2.6829949617385864,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.3.wav,guitar
MS-CLAP,bright,0.6,4.987209796905518,1.7118953466415405,3.275314450263977,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.6.wav,guitar
MS-CLAP,bright,1.0,4.145741939544678,1.7118953466415405,2.433846592903137,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_1.0.wav,guitar
MS-CLAP,calm,0.3,5.674365997314453,2.3288655281066895,3.3455004692077637,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.3.wav,guitar
MS-CLAP,calm,0.6,4.909225940704346,2.3288655281066895,2.5803604125976562,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.6.wav,guitar
MS-CLAP,calm,1.0,3.275038242340088,2.3288655281066895,0.9461727142333984,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_1.0.wav,guitar
MS-CLAP,clear,0.3,5.391604900360107,2.5146284103393555,2.876976490020752,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.3.wav,guitar
MS-CLAP,clear,0.6,5.029215335845947,2.5146284103393555,2.514586925506592,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.6.wav,guitar
MS-CLAP,clear,1.0,4.262989044189453,2.5146284103393555,1.7483606338500977,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_1.0.wav,guitar
MS-CLAP,cold,0.3,4.073487758636475,1.6986143589019775,2.374873399734497,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.3.wav,guitar
MS-CLAP,cold,0.6,3.843266487121582,1.6986143589019775,2.1446521282196045,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.6.wav,guitar
MS-CLAP,cold,1.0,3.6281001567840576,1.6986143589019775,1.92948579788208,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_1.0.wav,guitar
MS-CLAP,cool,0.3,4.531823635101318,1.7320280075073242,2.799795627593994,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_0.3.wav,guitar
