model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
LAION-CLAP,bright,0.3,-0.011052572168409824,0.001071675680577755,-0.01212424784898758,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.3.wav,guitar
LAION-CLAP,bright,0.6,0.020475542172789574,0.001071675680577755,0.01940386649221182,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.6.wav,guitar
LAION-CLAP,bright,1.0,0.060726676136255264,0.001071675680577755,0.05965500045567751,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_1.0.wav,guitar
LAION-CLAP,calm,0.3,-0.0017919851234182715,0.0016949884593486786,-0.00348697358276695,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.3.wav,guitar
LAION-CLAP,calm,0.6,0.01220682729035616,0.0016949884593486786,0.01051183883100748,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.6.wav,guitar
LAION-CLAP,calm,1.0,0.029213227331638336,0.0016949884593486786,0.027518238872289658,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_1.0.wav,guitar
LAION-CLAP,clear,0.3,0.0010037139290943742,-0.0060243159532547,0.007028029882349074,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.3.wav,guitar
LAION-CLAP,clear,0.6,0.025465834885835648,-0.0060243159532547,0.03149015083909035,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.6.wav,guitar
LAION-CLAP,clear,1.0,0.07611183822154999,-0.0060243159532547,0.08213615417480469,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_1.0.wav,guitar
LAION-CLAP,cold,0.3,-0.0842699334025383,-0.07262259721755981,-0.011647336184978485,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.3.wav,guitar
LAION-CLAP,cold,0.6,-0.10834433138370514,-0.07262259721755981,-0.035721734166145325,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.6.wav,guitar
LAION-CLAP,cold,1.0,-0.06471441686153412,-0.07262259721755981,0.007908180356025696,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_1.0.wav,guitar
LAION-CLAP,cool,0.3,0.020834511145949364,-0.017917737364768982,0.038752248510718346,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_0.3.wav,guitar
LAION-CLAP,cool,0.6,0.00011622372403508052,-0.017917737364768982,0.018033961088804062,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_0.6.wav,guitar
LAION-CLAP,cool,1.0,3.3802389225456864e-05,-0.017917737364768982,0.01795153975399444,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_1.0.wav,guitar
LAION-CLAP,crisp,0.3,-0.04590548947453499,-0.05270494893193245,0.006799459457397461,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_0.3.wav,guitar
LAION-CLAP,crisp,0.6,-0.04238249361515045,-0.05270494893193245,0.010322455316781998,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_0.6.wav,guitar
LAION-CLAP,crisp,1.0,0.03534386679530144,-0.05270494893193245,0.08804881572723389,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_1.0.wav,guitar
LAION-CLAP,dark,0.3,0.031993214040994644,-0.011599995195865631,0.043593209236860275,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_0.3.wav,guitar
LAION-CLAP,dark,0.6,0.06371817737817764,-0.011599995195865631,0.07531817257404327,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_0.6.wav,guitar
LAION-CLAP,dark,1.0,0.0931558609008789,-0.011599995195865631,0.10475585609674454,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_1.0.wav,guitar
LAION-CLAP,gentle,0.3,0.028500763699412346,0.028826914727687836,-0.0003261510282754898,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_0.3.wav,guitar
LAION-CLAP,gentle,0.6,0.0012607236858457327,0.028826914727687836,-0.027566191041842103,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_0.6.wav,guitar
LAION-CLAP,gentle,1.0,-0.004895503167062998,0.028826914727687836,-0.033722417894750834,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_1.0.wav,guitar
LAION-CLAP,hard,0.3,0.16417112946510315,0.11945244669914246,0.04471868276596069,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_0.3.wav,guitar
LAION-CLAP,hard,0.6,0.2552798390388489,0.11945244669914246,0.13582739233970642,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_0.6.wav,guitar
LAION-CLAP,hard,1.0,0.2905582785606384,0.11945244669914246,0.17110583186149597,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_1.0.wav,guitar
LAION-CLAP,harsh,0.3,-0.01156104076653719,-0.025964366272091866,0.014403325505554676,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_0.3.wav,guitar
LAION-CLAP,harsh,0.6,-0.05550749972462654,-0.025964366272091866,-0.029543133452534676,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_0.6.wav,guitar
LAION-CLAP,harsh,1.0,-0.011283152736723423,-0.025964366272091866,0.014681213535368443,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_1.0.wav,guitar
LAION-CLAP,heavy,0.3,0.09544321894645691,0.06437971442937851,0.0310635045170784,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_0.3.wav,guitar
LAION-CLAP,heavy,0.6,0.15887771546840668,0.06437971442937851,0.09449800103902817,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_0.6.wav,guitar
LAION-CLAP,heavy,1.0,0.2594240605831146,0.06437971442937851,0.19504434615373611,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_1.0.wav,guitar
LAION-CLAP,loud,0.3,-0.025185655802488327,-0.03647082298994064,0.011285167187452316,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_0.3.wav,guitar
LAION-CLAP,loud,0.6,0.12276652455329895,-0.03647082298994064,0.1592373475432396,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_0.6.wav,guitar
LAION-CLAP,loud,1.0,0.1994883418083191,-0.03647082298994064,0.23595916479825974,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_1.0.wav,guitar
LAION-CLAP,mellow,0.3,0.14713172614574432,0.09667636454105377,0.05045536160469055,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_mellow_0.3.wav,guitar
