model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,bright,0.3,4.560237884521484,3.162029266357422,1.3982086181640625,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.3.wav,guitar
MS-CLAP,bright,0.6,5.0049872398376465,3.162029266357422,1.8429579734802246,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_0.6.wav,guitar
MS-CLAP,bright,1.0,3.7764222621917725,3.162029266357422,0.6143929958343506,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_bright_1.0.wav,guitar
MS-CLAP,calm,0.3,5.58638858795166,3.4185919761657715,2.1677966117858887,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.3.wav,guitar
MS-CLAP,calm,0.6,4.25812292098999,3.4185919761657715,0.8395309448242188,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_0.6.wav,guitar
MS-CLAP,calm,1.0,3.033933401107788,3.4185919761657715,-0.3846585750579834,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_calm_1.0.wav,guitar
MS-CLAP,clear,0.3,5.214151382446289,3.8196921348571777,1.3944592475891113,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.3.wav,guitar
MS-CLAP,clear,0.6,3.7705633640289307,3.8196921348571777,-0.04912877082824707,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_0.6.wav,guitar
MS-CLAP,clear,1.0,4.2941765785217285,3.8196921348571777,0.4744844436645508,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_clear_1.0.wav,guitar
MS-CLAP,cold,0.3,4.543328285217285,3.2084147930145264,1.3349134922027588,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.3.wav,guitar
MS-CLAP,cold,0.6,4.296515464782715,3.2084147930145264,1.0881006717681885,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_0.6.wav,guitar
MS-CLAP,cold,1.0,4.056160926818848,3.2084147930145264,0.8477461338043213,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cold_1.0.wav,guitar
MS-CLAP,cool,0.3,4.148898124694824,3.4698548316955566,0.6790432929992676,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_0.3.wav,guitar
MS-CLAP,cool,0.6,4.164223670959473,3.4698548316955566,0.694368839263916,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_0.6.wav,guitar
MS-CLAP,cool,1.0,3.89701247215271,3.4698548316955566,0.4271576404571533,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_cool_1.0.wav,guitar
MS-CLAP,crisp,0.3,4.466487407684326,2.68129825592041,1.785189151763916,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_0.3.wav,guitar
MS-CLAP,crisp,0.6,4.121952056884766,2.68129825592041,1.4406538009643555,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_0.6.wav,guitar
MS-CLAP,crisp,1.0,2.935178756713867,2.68129825592041,0.25388050079345703,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_crisp_1.0.wav,guitar
MS-CLAP,dark,0.3,2.3177578449249268,1.9157012701034546,0.40205657482147217,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_0.3.wav,guitar
MS-CLAP,dark,0.6,-0.21702417731285095,1.9157012701034546,-2.1327254474163055,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_0.6.wav,guitar
MS-CLAP,dark,1.0,0.16354553401470184,1.9157012701034546,-1.7521557360887527,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_dark_1.0.wav,guitar
MS-CLAP,gentle,0.3,7.48366641998291,5.585482120513916,1.8981842994689941,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_0.3.wav,guitar
MS-CLAP,gentle,0.6,5.514000415802002,5.585482120513916,-0.07148170471191406,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_0.6.wav,guitar
MS-CLAP,gentle,1.0,5.905055999755859,5.585482120513916,0.31957387924194336,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_gentle_1.0.wav,guitar
MS-CLAP,hard,0.3,3.136479377746582,2.7461793422698975,0.39030003547668457,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_0.3.wav,guitar
MS-CLAP,hard,0.6,1.9135727882385254,2.7461793422698975,-0.8326065540313721,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_0.6.wav,guitar
MS-CLAP,hard,1.0,-1.1277780532836914,2.7461793422698975,-3.873957395553589,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_hard_1.0.wav,guitar
MS-CLAP,harsh,0.3,0.3923626244068146,1.2634873390197754,-0.8711247146129608,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_0.3.wav,guitar
MS-CLAP,harsh,0.6,1.7044495344161987,1.2634873390197754,0.44096219539642334,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_0.6.wav,guitar
MS-CLAP,harsh,1.0,0.9574178457260132,1.2634873390197754,-0.3060694932937622,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_harsh_1.0.wav,guitar
MS-CLAP,heavy,0.3,3.8874685764312744,3.355318546295166,0.5321500301361084,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_0.3.wav,guitar
MS-CLAP,heavy,0.6,3.038907289505005,3.355318546295166,-0.31641125679016113,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_0.6.wav,guitar
MS-CLAP,heavy,1.0,-0.15999336540699005,3.355318546295166,-3.515311911702156,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_heavy_1.0.wav,guitar
MS-CLAP,loud,0.3,2.3012022972106934,2.2645864486694336,0.036615848541259766,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_0.3.wav,guitar
MS-CLAP,loud,0.6,3.2492947578430176,2.2645864486694336,0.984708309173584,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_0.6.wav,guitar
MS-CLAP,loud,1.0,2.603510856628418,2.2645864486694336,0.3389244079589844,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_loud_1.0.wav,guitar
MS-CLAP,mellow,0.3,4.218178749084473,2.813506603240967,1.4046721458435059,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_mellow_0.3.wav,guitar
MS-CLAP,mellow,0.6,2.3143606185913086,2.813506603240967,-0.4991459846496582,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/eq_audio/guitar_eq_mellow_0.6.wav,guitar
